Year,NOx,C-C,NOx_O3_short,NOx_CH4,NOx_O3_long
2000,12.17,28.35,29.81322561,-11.81169961,-5.905849806
2001,11.69,28.54,28.84173923,-11.48874404,-5.744372019
2002,11.69,27.83,29.06569323,-11.64071011,-5.820355055
2003,11.66,28.98,29.21395543,-11.76350744,-5.88175372
2004,12.36,32.87,31.22963424,-12.6433176,-6.3216588
2005,12.92,34.76,32.95225268,-13.41303135,-6.706515675
2006,13.14,36.2,33.76657895,-13.80655392,-6.903276961
2007,13.58,38.12,35.19548213,-14.45578067,-7.227890337
2008,13.59,39.03,35.48469681,-14.64037264,-7.320186321
2009,12.94,38.04,34.08456492,-14.12619469,-7.063097343
2010,13.66,41.86,36.2675537,-15.0987883,-7.549394152
2011,13.62,44.13,37.34315973,-15.80833869,-7.904169347
2012,13.66,45.23,37.74737893,-16.04127505,-8.020637524
2013,13.95,46.63,38.82027107,-16.56103835,-8.280519176
2014,14.27,48.51,40.04152266,-17.14811937,-8.574059686
2015,14.93,50.96,42.22831687,-18.15459649,-9.077298243
2016,15.74,53.69,44.27067169,-18.98120456,-9.490602281
2017,16.67,56.29,46.88264132,-20.10109563,-10.05054782
2018,17.54,57.4,49.32053867,-21.1463526,-10.5731763